image_id,x_1,y_1,width,height
000031.jpg,70,94,283,392
000042.jpg,84,102,174,241
000118.jpg,101,113,179,248
000138.jpg,119,1,153,212
000149.jpg,195,54,133,184
000151.jpg,133,142,257,355
000179.jpg,556,389,1050,1454
000190.jpg,187,19,91,126
000222.jpg,431,119,135,187
000223.jpg,151,78,109,151
000226.jpg,80,34,203,281
000231.jpg,136,116,322,446
000232.jpg,202,59,143,198
000296.jpg,108,69,164,227
000311.jpg,107,45,307,425
000332.jpg,157,109,247,342
000335.jpg,33,70,252,314
000356.jpg,376,58,218,302
000372.jpg,72,47,146,202
000385.jpg,255,15,153,212
000439.jpg,42,27,161,223
000442.jpg,531,89,575,796
000484.jpg,154,93,156,216
000488.jpg,105,86,182,252
000504.jpg,93,88,187,259
000512.jpg,13,51,302,418
000533.jpg,75,16,140,194
000565.jpg,685,155,315,436
000566.jpg,124,90,151,209
000582.jpg,131,73,148,205
000609.jpg,460,53,244,338
000650.jpg,62,98,151,209
000651.jpg,158,106,372,515
000654.jpg,126,42,242,335
000706.jpg,42,41,94,130
000732.jpg,50,94,211,292
000734.jpg,387,48,208,288
000761.jpg,106,89,205,284
000765.jpg,283,83,140,194
000774.jpg,237,86,192,266
000792.jpg,71,24,96,133
000828.jpg,172,45,218,302
000837.jpg,78,59,86,119
000857.jpg,81,88,255,353
000864.jpg,123,39,78,108
000871.jpg,264,30,185,256
000894.jpg,86,85,185,256
000906.jpg,128,20,122,169
000918.jpg,120,74,122,169
000930.jpg,119,105,281,389
000970.jpg,92,57,127,176
001025.jpg,281,313,333,461
001029.jpg,307,270,302,418
001046.jpg,172,59,135,187
001049.jpg,118,82,96,133
001080.jpg,64,88,182,252
001092.jpg,367,64,320,443
001117.jpg,156,25,146,202
001175.jpg,167,71,190,263
001192.jpg,1,38,81,112
001212.jpg,95,112,127,176
001285.jpg,187,37,221,306
001331.jpg,88,83,138,191
001332.jpg,557,159,380,526
001347.jpg,80,136,174,241
001356.jpg,15,67,333,430
001402.jpg,101,87,221,306
001440.jpg,149,39,127,176
001464.jpg,137,66,99,137
001474.jpg,37,43,99,137
001505.jpg,175,68,112,155
001557.jpg,58,24,125,173
001578.jpg,128,89,112,155
001605.jpg,59,59,250,346
001625.jpg,108,85,125,173
001647.jpg,49,68,185,256
001651.jpg,55,33,122,169
001653.jpg,65,103,133,184
001668.jpg,374,291,512,709
001730.jpg,111,148,185,256
001738.jpg,185,171,335,464
001758.jpg,53,81,229,317
001775.jpg,70,51,208,288
001812.jpg,178,73,171,259
001917.jpg,190,14,133,184
001944.jpg,205,153,187,259
001981.jpg,175,66,133,184
001998.jpg,193,62,138,191
002021.jpg,337,217,239,331
002048.jpg,97,80,393,544
002049.jpg,31,81,146,202
002081.jpg,1056,163,657,914
002151.jpg,178,194,96,133
002157.jpg,219,91,189,266
002180.jpg,89,110,151,209
002184.jpg,329,72,140,194
002187.jpg,54,36,96,133
002188.jpg,40,44,153,212
002198.jpg,85,82,169,234
002221.jpg,128,28,57,79
002232.jpg,34,59,127,176
002258.jpg,80,49,122,169
002282.jpg,105,77,151,209
002284.jpg,111,59,211,292
002298.jpg,114,92,237,328
002333.jpg,123,79,55,76
002353.jpg,177,104,156,216
002356.jpg,146,62,99,137
002360.jpg,152,58,81,112
002375.jpg,72,46,192,266
002408.jpg,145,109,213,295
002418.jpg,141,76,179,248
002502.jpg,171,46,146,202
002548.jpg,233,194,260,360
002570.jpg,83,63,166,230
002594.jpg,91,42,127,176
002617.jpg,110,26,125,173
002650.jpg,96,80,169,234
002656.jpg,82,18,205,284
002693.jpg,105,55,146,202
002751.jpg,107,63,151,209
002755.jpg,252,129,151,209
002806.jpg,90,215,110,105
002857.jpg,694,40,151,209
002960.jpg,224,26,140,194
002964.jpg,100,76,159,220
002970.jpg,46,84,198,274
002987.jpg,87,65,216,299
003021.jpg,50,108,148,205
003046.jpg,6,31,83,115
003084.jpg,112,80,138,191
003097.jpg,359,191,325,450
003103.jpg,89,11,130,180
003115.jpg,153,60,104,144
003120.jpg,136,64,216,299
003145.jpg,377,38,122,169
003230.jpg,59,35,146,202
003237.jpg,117,52,133,184
003273.jpg,465,352,411,569
003298.jpg,46,26,112,155
003302.jpg,87,43,237,318
003324.jpg,96,79,208,288
003344.jpg,91,57,140,194
003359.jpg,81,77,190,263
003376.jpg,187,147,161,223
003411.jpg,220,160,348,482
003453.jpg,96,83,164,227
003473.jpg,67,48,81,112
003496.jpg,52,90,270,374
003498.jpg,223,31,62,86
003500.jpg,106,69,208,288
003516.jpg,51,58,151,209
003524.jpg,71,118,252,349
003526.jpg,58,48,231,309
003548.jpg,110,67,91,126
003557.jpg,61,85,174,241
003559.jpg,37,6,94,137
003582.jpg,126,58,187,259
003585.jpg,46,63,231,320
003656.jpg,209,22,120,166
003673.jpg,471,49,127,176
003676.jpg,71,47,101,140
003702.jpg,92,20,143,220
003780.jpg,108,92,247,342
003782.jpg,95,70,153,212
003792.jpg,164,179,179,248
003801.jpg,107,84,203,281
003810.jpg,87,69,203,281
003832.jpg,236,88,192,266
003877.jpg,63,68,169,234
003883.jpg,38,49,101,140
003888.jpg,54,42,109,151
003890.jpg,22,87,278,385
003894.jpg,94,19,65,90
003925.jpg,111,86,148,205
003962.jpg,71,85,161,223
003967.jpg,158,72,190,263
003982.jpg,283,100,109,151
004058.jpg,116,61,166,230
004065.jpg,163,128,299,414
004093.jpg,264,222,465,644
004110.jpg,162,72,86,119
004172.jpg,12,70,229,317
004202.jpg,148,51,122,169
004221.jpg,58,75,140,194
004227.jpg,32,103,281,389
004237.jpg,30,69,257,356
004238.jpg,123,47,94,130
004240.jpg,4,29,104,144
004247.jpg,65,105,260,360
004281.jpg,52,33,86,119
004284.jpg,175,31,122,169
004292.jpg,202,25,395,547
004317.jpg,84,19,101,140
004346.jpg,83,105,146,202
004349.jpg,204,233,455,630
004350.jpg,36,24,164,227
004356.jpg,87,45,133,184
004413.jpg,63,47,146,202
004470.jpg,115,83,185,256
004488.jpg,206,90,367,508
004506.jpg,70,28,78,108
004509.jpg,96,77,174,241
004510.jpg,112,36,125,173
004522.jpg,198,86,159,220
004524.jpg,153,47,109,151
004530.jpg,106,130,169,234
004540.jpg,322,65,179,248
004615.jpg,3,38,182,252
004617.jpg,73,37,188,263
004623.jpg,89,90,172,238
004677.jpg,51,61,166,230
004683.jpg,204,46,138,191
004684.jpg,184,49,109,151
004692.jpg,41,51,86,119
004724.jpg,103,120,252,343
004741.jpg,107,73,101,140
004752.jpg,60,70,127,202
004766.jpg,103,70,182,252
004783.jpg,178,33,86,119
004859.jpg,78,110,166,230
004865.jpg,146,52,148,205
004871.jpg,133,49,307,425
004883.jpg,128,69,114,158
004889.jpg,297,67,78,108
004913.jpg,186,73,151,209
004918.jpg,198,37,49,68
004943.jpg,171,40,101,140
004945.jpg,117,106,208,288
004950.jpg,161,69,169,234
004967.jpg,206,50,208,247
004991.jpg,155,39,151,209
005007.jpg,111,41,78,108
005055.jpg,72,60,148,205
005077.jpg,88,46,166,230
005083.jpg,101,63,104,144
005120.jpg,337,228,650,900
005121.jpg,198,63,122,169
005136.jpg,102,33,70,97
005151.jpg,266,225,450,623
005226.jpg,172,1,247,342
005239.jpg,37,61,107,148
005257.jpg,173,72,130,180
005260.jpg,234,37,166,230
005274.jpg,97,56,172,238
005277.jpg,102,22,73,101
005285.jpg,104,61,192,266
005324.jpg,3,44,146,189
005329.jpg,155,44,133,184
005360.jpg,75,47,182,252
005383.jpg,95,72,247,342
005407.jpg,72,35,190,263
005413.jpg,768,78,127,176
005434.jpg,68,89,229,317
005468.jpg,34,19,81,112
005489.jpg,52,54,125,173
005514.jpg,57,109,234,324
005547.jpg,190,69,153,212
005571.jpg,144,40,263,341
005582.jpg,918,395,933,1292
005590.jpg,118,41,91,126
005632.jpg,41,65,120,166
005670.jpg,392,227,213,295
005709.jpg,53,41,130,180
005783.jpg,54,109,203,281
005787.jpg,50,26,57,79
005797.jpg,29,46,73,101
005817.jpg,247,86,140,194
005904.jpg,97,42,62,86
