image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000031.jpg,68,113,109,111,88,137,65,151,111,151
000042.jpg,68,112,109,112,92,138,68,152,109,150
000118.jpg,69,113,109,111,97,143,69,153,107,150
000138.jpg,69,110,107,112,89,128,70,153,109,152
000149.jpg,70,112,108,111,90,120,71,153,105,152
000151.jpg,69,112,109,111,92,142,64,152,112,151
000179.jpg,69,112,108,111,83,138,72,151,104,152
000190.jpg,70,112,108,111,85,133,73,153,103,151
000222.jpg,67,112,110,112,85,136,71,150,105,150
000223.jpg,71,111,107,110,89,141,68,152,108,154
000226.jpg,67,112,110,112,88,129,67,151,110,150
000231.jpg,69,112,108,111,85,125,73,152,104,151
000232.jpg,70,112,108,110,75,131,68,153,107,152
000296.jpg,69,111,108,111,83,135,68,151,108,152
000311.jpg,69,111,108,111,91,131,72,152,105,152
000332.jpg,70,111,107,111,91,132,73,152,104,152
000335.jpg,72,110,105,110,89,134,73,154,105,155
000356.jpg,69,111,108,111,91,136,73,152,103,152
000372.jpg,70,110,106,111,74,138,71,151,107,155
000385.jpg,71,109,105,112,104,131,69,153,110,155
000439.jpg,69,111,108,111,84,131,72,151,104,153
000442.jpg,68,111,109,113,90,137,73,152,106,150
000484.jpg,69,111,108,111,89,137,69,152,108,152
000488.jpg,68,111,109,112,91,136,75,151,102,151
000504.jpg,67,112,110,112,89,139,65,150,112,150
000512.jpg,72,111,105,109,78,132,73,155,103,154
000533.jpg,70,110,107,112,97,127,73,151,105,154
000565.jpg,68,111,109,112,91,140,68,151,110,150
000566.jpg,68,111,109,112,87,134,71,151,107,152
000582.jpg,70,112,108,111,97,134,68,152,108,152
000609.jpg,70,111,107,111,90,127,73,152,104,153
000650.jpg,67,112,109,112,84,140,67,150,110,150
000651.jpg,71,112,107,109,94,135,74,154,100,153
000654.jpg,69,110,107,112,81,135,71,151,107,154
000706.jpg,71,111,106,111,80,134,75,153,102,154
000732.jpg,69,111,108,111,83,134,73,151,104,153
000734.jpg,71,111,106,110,81,135,72,152,104,155
000761.jpg,67,112,110,112,86,134,69,150,108,151
000765.jpg,68,113,110,111,90,138,73,152,102,150
000774.jpg,69,111,108,112,90,131,72,152,105,151
000792.jpg,70,110,107,111,98,134,73,153,105,153
000828.jpg,70,111,107,111,98,133,72,153,105,153
000837.jpg,68,110,108,113,80,139,72,150,108,153
000857.jpg,69,111,108,111,91,132,68,151,108,153
000864.jpg,67,113,111,111,92,141,65,151,110,148
000871.jpg,70,111,107,111,87,129,75,152,102,152
000894.jpg,69,111,108,111,90,141,70,151,107,152
000906.jpg,77,110,101,106,73,131,77,160,96,157
000918.jpg,69,111,108,112,92,136,74,152,104,151
000930.jpg,69,112,109,111,91,137,73,151,103,152
000970.jpg,70,111,107,111,78,134,68,152,109,153
